iter	Passed	Remaining
467	715	812
468	716	810
469	717	808
470	718	806
471	719	804
472	720	802
473	721	800
474	722	798
475	723	796
476	724	794
477	725	792
478	726	790
479	727	788
480	728	786
481	730	784
482	731	782
483	732	780
484	733	778
485	734	776
486	735	774
487	736	772
488	737	770
489	738	768
490	739	766
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	745	754
497	746	752
498	748	751
499	749	749
500	750	747
501	751	745
502	752	743
503	753	741
504	754	739
505	755	737
506	756	735
507	757	733
508	758	731
509	759	729
510	760	728
511	762	726
512	763	724
513	764	722
514	765	720
515	766	718
516	767	716
517	768	714
518	769	713
519	770	711
520	771	709
521	772	707
522	773	705
523	774	703
524	775	702
525	777	700
526	778	698
527	779	696
528	780	694
529	781	692
530	782	690
531	783	689
532	784	687
533	785	685
534	786	683
535	787	682
536	788	680
537	790	678
538	791	676
539	792	674
540	793	672
541	794	671
542	795	669
543	796	667
544	797	665
545	798	664
546	799	662
547	800	660
548	801	658
549	802	656
550	803	655
551	805	653
552	806	651
553	807	649
554	808	648
555	809	646
556	810	644
557	811	642
558	812	640
559	813	639
560	814	637
561	815	635
562	816	633
563	817	632
564	818	630
565	819	628
566	821	626
567	822	625
568	823	623
569	824	621
570	825	619
571	826	618
572	827	616
573	828	614
574	829	613
575	830	611
576	831	609
577	832	608
578	833	606
579	835	604
580	836	603
581	837	601
582	838	599
583	839	598
584	840	596
585	841	594
586	842	592
587	843	591
588	844	589
589	846	587
590	847	586
591	848	584
592	849	582
593	850	581
594	851	579
595	852	577
596	853	576
597	854	574
598	855	572
599	856	571
600	857	569
601	858	567
602	859	566
603	860	564
604	861	562
605	862	561
606	864	559
607	865	557
608	866	556
609	867	554
610	868	552
611	869	551
612	870	549
613	871	547
614	872	546
615	873	544
616	874	542
617	875	541
618	876	539
619	877	537
620	879	536
621	880	535
622	881	533
623	882	531
624	883	530
625	884	528
626	885	526
627	886	525
628	887	523
629	888	521
630	889	520
631	890	518
632	891	516
633	892	515
634	893	513
635	894	511
636	895	510
637	896	508
638	897	507
639	898	505
640	899	503
641	900	502
642	901	500
643	902	498
644	903	497
645	904	495
646	905	494
647	906	492
648	907	490
649	908	489
650	909	487
651	910	486
652	911	484
653	912	482
654	913	481
655	914	479
656	915	478
657	916	476
658	917	474
659	918	473
660	919	471
661	920	470
662	921	468
663	922	466
664	923	465
665	924	463
666	925	462
667	926	460
668	927	459
669	928	457
670	929	455
671	930	454
672	931	452
673	932	451
674	933	449
675	935	448
676	936	446
677	937	445
678	938	443
679	939	441
680	940	440
681	941	438
682	942	437
683	943	435
684	944	434
685	945	432
686	946	431
687	947	429
688	948	428
689	949	426
690	950	425
691	951	423
692	952	422
693	953	420
694	954	418
695	955	417
696	956	415
697	957	414
698	958	412
699	959	411
700	960	409
701	962	408
702	963	406
703	964	405
704	965	403
705	965	402
706	966	400
707	967	399
708	968	397
709	969	396
710	970	394
711	972	393
712	973	391
713	974	390
714	975	388
715	976	387
716	977	385
717	978	384
718	979	382
719	980	381
720	981	379
721	982	378
722	983	376
723	984	375
724	985	373
725	986	372
726	987	370
727	988	369
728	989	367
729	990	366
730	991	364
731	992	363
732	993	361
733	994	360
734	995	358
735	996	357
736	997	355
737	998	354
738	999	352
739	1000	351
740	1001	349
741	1002	348
742	1003	347
743	1004	345
744	1005	344
745	1006	342
746	1007	341
747	1008	339
748	1009	338
749	1010	336
750	1011	335
751	1012	333
752	1013	332
753	1014	330
754	1015	329
755	1016	327
756	1017	326
757	1018	325
758	1019	323
759	1020	322
760	1021	320
761	1021	319
762	1022	317
763	1024	316
764	1025	314
765	1025	313
766	1026	311
767	1027	310
768	1028	309
769	1030	307
770	1031	306
771	1032	304
772	1033	303
773	1034	301
774	1035	300
775	1036	299
776	1037	297
777	1038	296
778	1039	294
779	1040	293
780	1041	291
781	1042	290
782	1043	289
783	1044	287
784	1045	286
785	1046	284
786	1047	283
787	1048	281
788	1049	280
789	1050	279
790	1051	277
791	1052	276
792	1053	274
793	1054	273
794	1055	272
795	1056	270
796	1056	269
797	1057	267
798	1058	266
799	1059	264
800	1060	263
801	1061	262
802	1062	260
803	1063	259
804	1064	257
805	1065	256
806	1066	255
807	1067	253
808	1068	252
809	1069	250
810	1070	249
811	1071	248
812	1072	246
813	1073	245
814	1074	243
815	1075	242
816	1076	241
817	1077	239
818	1078	238
819	1079	236
820	1080	235
821	1081	234
822	1082	232
823	1083	231
824	1084	230
825	1085	228
826	1086	227
827	1087	225
828	1088	224
829	1089	223
830	1090	221
831	1092	220
832	1093	219
833	1094	217
834	1095	216
835	1096	215
836	1097	213
837	1098	212
838	1099	210
839	1100	209
840	1101	208
841	1102	206
842	1103	205
843	1104	204
844	1105	202
845	1106	201
846	1107	200
847	1108	198
848	1109	197
849	1110	196
850	1111	194
851	1112	193
852	1113	191
853	1114	190
854	1115	189
855	1116	187
856	1117	186
857	1118	185
858	1119	183
859	1120	182
860	1121	181
861	1122	179
862	1123	178
863	1124	177
864	1125	175
865	1126	174
866	1127	172
867	1128	171
868	1129	170
869	1130	168
870	1131	167
871	1132	166
872	1133	164
873	1134	163
874	1135	162
875	1136	160
876	1137	159
877	1138	158
878	1139	156
879	1140	155
880	1141	154
881	1142	152
882	1143	151
883	1144	150
884	1145	148
885	1146	147
886	1147	146
887	1148	144
888	1149	143
889	1150	142
890	1151	140
891	1152	139
892	1153	138
893	1154	136
894	1155	135
895	1156	134
896	1157	132
897	1158	131
898	1159	130
899	1160	128
900	1161	127
901	1162	126
902	1163	125
903	1164	123
904	1165	122
905	1166	121
906	1167	119
907	1168	118
908	1169	117
909	1170	115
910	1171	114
911	1172	113
912	1173	111
913	1174	110
914	1175	109
915	1176	107
916	1177	106
917	1178	105
918	1179	103
919	1180	102
920	1181	101
921	1182	100
922	1183	98
923	1184	97
924	1185	96
925	1186	94
926	1187	93
927	1188	92
928	1189	90
929	1190	89
930	1191	88
931	1192	87
932	1193	85
933	1194	84
934	1195	83
935	1196	81
936	1197	80
937	1198	79
938	1199	77
939	1200	76
940	1201	75
941	1202	74
942	1203	72
943	1204	71
944	1205	70
945	1206	68
946	1207	67
947	1208	66
948	1209	65
949	1210	63
950	1211	62
951	1212	61
952	1213	59
953	1214	58
954	1215	57
955	1217	56
956	1218	54
957	1218	53
958	1219	52
959	1220	50
960	1221	49
961	1222	48
962	1223	47
963	1224	45
964	1225	44
965	1226	43
966	1227	41
967	1228	40
968	1230	39
969	1231	38
970	1232	36
971	1233	35
972	1234	34
973	1235	32
974	1236	31
975	1237	30
976	1238	29
977	1239	27
978	1240	26
979	1241	25
980	1242	24
981	1243	22
982	1244	21
983	1245	20
984	1246	18
985	1247	17
986	1248	16
987	1249	15
988	1250	13
989	1251	12
990	1252	11
991	1253	10
992	1254	8
993	1255	7
994	1256	6
995	1257	5
996	1258	3
997	1259	2
998	1260	1
999	1261	0
